gene,Chromosome_name,Strand,Description,Cluster,mESCs_pbulk_Rlog_rep1,mESCs_pbulk_Rlog_rep2,mESCs_pbulk_Rlog_rep3,PGNs_pbulk_Rlog_rep1,PGNs_pbulk_Rlog_rep2,PGNs_pbulk_Rlog_rep3,DNs_pbulk_Rlog_rep1,DNs_pbulk_Rlog_rep2,DNs_pbulk_Rlog_rep3,OLGs_pbulk_Rlog_rep1,OLGs_pbulk_Rlog_rep2,OLGs_pbulk_Rlog_rep3,OLGs_vs_mESCs_LogFC,OLGs_vs_mESCs_pvalue,OLGs_vs_mESCs_padj,DNs_vs_mESCs_LogFC,DNs_vs_mESCs_pvalue,DNs_vs_mESCs_padj,PGNs_vs_mESCs_LogFC,PGNs_vs_mESCs_pvalue,PGNs_vs_mESCs_padj,DNs_vs_OLGs_LogFC,DNs_vs_OLGs_pvalue,DNs_vs_OLGs_padj,PGNs_vs_OLGs_LogFC,PGNs_vs_OLGs_pvalue,PGNs_vs_OLGs_padj,DNs_vs_PGNs_LogFC,DNs_vs_PGNs_pvalue,DNs_vs_PGNs_padj,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,      
Ahr,12,-1.0,aryl-hydrocarbon receptor [Source:MGI Symbol;Acc:MGI:105043]      ,2,3.83754552,6.049544228999999,5.645325627,4.0116260530000005,4.219664186,4.713539667,4.459727002,4.948757709,4.137039558000001,3.463712445,2.5445879209999998,3.534312283,3.2255782889999995,0.004729153,0.01020478,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Ar,X,1.0,androgen receptor [Source:MGI Symbol;Acc:MGI:88064]      ,1,-0.20189906300000002,-0.205478699,1.334480796,3.54741855,3.947767065,3.855142732,3.918172484,3.147404486,3.617978785,1.380530545,1.5382192609999998,1.441113902,nan,nan,nan,-4.332947101999999,0.0031900809999999996,0.006010335,-4.552251217,0.001870814,0.003484885,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Arid3a,10,1.0,AT rich interactive domain 3A (BRIGHT-like) [Source:MGI Symbol;Acc:MGI:1328360]      ,2,5.003291498,5.236901065,4.986644773,3.808004295,3.7393104189999997,3.800863285,4.367649593,3.9724943839999995,4.194537067,4.296087502,2.392618807,2.3218697059999998,2.40772845,0.004969885,0.010691293000000001,1.209304156,0.006225726,0.011274325,1.8156961230000002,3.66e-05,8.240000000000001e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Arid5b,10,-1.0,AT rich interactive domain 5B (MRF1-like) [Source:MGI Symbol;Acc:MGI:2175912]      ,2,6.665587237,6.529946992999999,6.640508402999999,5.260397923,5.825736997000001,5.592297835,4.614342701,5.020067908,4.417955152,4.687623457,3.02252185,3.886269555,3.5512238189999996,1.42e-06,4.98e-06,2.571930366,5.8e-12,2.3899999999999996e-11,1.355495079,1.3e-06,3.33e-06,nan,nan,nan,-2.19572874,0.002947344,0.011829425,-1.216435288,0.002494481,0.01256958,nan,nan,nan,nan,nan,nan,nan,nan,      
Arnt,3,1.0,aryl hydrocarbon receptor nuclear translocator [Source:MGI Symbol;Acc:MGI:88071]      ,2,5.958150795,6.467701545,5.973479802999999,5.420690663999999,4.970023179,5.2905387269999995,4.971143882,5.1580260110000005,4.95516775,4.7383841030000005,5.942145138,3.960506282,1.4088748219999998,0.00801287,0.01657537,1.534321485,0.000296923,0.000639504,1.224608738,0.0015678139999999998,0.0029464990000000004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Arntl,7,1.0,aryl hydrocarbon receptor nuclear translocator-like [Source:MGI Symbol;Acc:MGI:1096381]      ,6,4.064948056,5.1582042239999994,4.332628791,5.767668047999999,5.626151677999999,5.855323702000001,4.152624531,4.614972465,4.828735013,3.579183942,4.326465788999999,2.626004539,nan,nan,nan,nan,nan,nan,-1.520181992,0.001909504,0.003553187,nan,nan,nan,-3.004294898,0.001068403,0.004901150999999999,-1.601663565,0.00460118,0.020872156,nan,nan,nan,nan,nan,nan,nan,nan,      
Ascl2,7,-1.0,achaete-scute family bHLH transcription factor 2 [Source:MGI Symbol;Acc:MGI:96920]      ,3,2.775296918,3.4788713060000003,2.2629711,-0.007580009,0.035189313,0.017041283,0.09951293300000001,0.212297717,0.146998654,0.7265230770000001,0.86347034,0.7791376529999999,nan,nan,nan,4.08410902,0.027684966000000002,0.045006925999999996,4.524721917,0.013606651,0.022440757000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Atf1,15,1.0,activating transcription factor 1 [Source:MGI Symbol;Acc:MGI:1298366]      ,3,6.852894111,6.827537456,7.084929761000001,4.595334516,4.804799623,5.003813538999999,4.520898259,4.94643608,4.724069783,3.8614088719999997,4.93946068,5.3019289480000005,2.82122026,9.460000000000001e-08,3.75e-07,2.93514868,3.5299999999999998e-15,1.75e-14,2.8242368069999997,3.11e-18,1.62e-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Atf2,2,-1.0,activating transcription factor 2 [Source:MGI Symbol;Acc:MGI:109349]      ,2,8.039101341,7.824167248999999,8.084322183,7.562606763,7.595471399,7.677482317000001,7.746945646,7.596721445,7.610796551,7.195540466000001,7.900007799,6.700882297000001,0.8638607840000001,0.000972177,0.00237463,0.442959053,0.030060551,0.048518549,0.500580599,0.010841406999999999,0.018181692,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,      
Atf3,1,-1.0,activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]      ,6,3.913491435,5.239288272,4.22643806,4.54048774,5.445392322000001,4.908161117,3.3724135810000004,2.717932382,1.812686934,6.086506606,2.4286956490000002,4.957502508999999,nan,nan,nan,2.666239287,0.007493175,0.013396222,nan,nan,nan,3.4863034539999997,0.0009061189999999999,0.004661887,nan,nan,nan,-3.2112205489999996,0.001596021,0.008654373,nan,nan,nan,nan,nan,nan,nan,nan,      
